Position,ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Nahrungsmittel und alkoholfreie Getr채nke,1,0.11513,0.11736000000000005,0.11796999999999999,0.12012,0.11401,0.10998,0.10984,0.11091000000000001,0.10903000000000004,0.11062999999999999,0.10636,0.10305999999999998,0.10707000000000001,0.10462999999999999,0.10486000000000001,0.10333,0.10414,0.10449,0.10673,0.10539,0.1193,0.12608,0.10991
Alkoholische Getr채nke und Tabak,2,0.019790000000000002,0.01894,0.01831,0.018189999999999998,0.01691,0.01962,0.017120000000000003,0.017849999999999998,0.016960000000000003,0.01764,0.01795,0.01761,0.01867,0.01818,0.0173,0.028999999999999998,0.02936,0.02765,0.028130000000000002,0.027559999999999998,0.03013,0.034820000000000004,0.028919999999999998
Bekleidung und Schuhe,3,0.05071,0.04521,0.048979999999999996,0.04812,0.042730000000000004,0.04259,0.046180000000000006,0.04434000000000001,0.04553000000000001,0.044539999999999996,0.04199,0.040839999999999994,0.03795,0.03788,0.03819,0.03777,0.03849,0.03772,0.03644,0.03404,0.02762,0.02691,0.02978
Wohnen und Energie,4,0.26529,0.2594,0.25347,0.25616,0.25933999999999996,0.25175000000000003,0.25448,0.25211999999999996,0.25092000000000003,0.25753,0.26289,0.26156,0.25367999999999996,0.24955,0.2544,0.24747,0.25235,0.25416,0.25149,0.24959,0.27165,0.26594999999999996,0.25349
Hausrat und laufende Haushaltf체hrung,5,0.05114,0.04571000000000001,0.0449,0.04341999999999999,0.03959,0.04335,0.046490000000000004,0.04761999999999999,0.04968000000000001,0.046349999999999995,0.04723,0.04752,0.043609999999999996,0.04533,0.04455,0.044610000000000004,0.03894,0.039009999999999996,0.03727,0.0379,0.0381,0.04518,0.03723
Gesundheitspflege,6,0.13351000000000002,0.14495999999999998,0.15236999999999998,0.1577,0.16346,0.16719,0.15903,0.14467,0.14075,0.13862,0.14150000000000001,0.14632,0.1539,0.14992,0.14858000000000002,0.15577,0.15215,0.15063000000000001,0.15466,0.15689,0.17579999999999998,0.16671,0.15302
Verkehr,7,0.09377,0.09826,0.09775,0.09473000000000001,0.10451,0.10286,0.10796000000000001,0.11285,0.11157000000000002,0.11010999999999999,0.10833999999999999,0.10833,0.11007,0.11599999999999999,0.11188000000000001,0.10856,0.10823,0.11245,0.10752,0.10969,0.10019,0.10976000000000001,0.12032999999999999
Nachrichten체bermittlung,8,0.018009999999999998,0.02415,0.024860000000000004,0.025779999999999997,0.027229999999999997,0.02636,0.02748,0.029379999999999996,0.027160000000000004,0.02785,0.02875,0.029369999999999997,0.02912,0.02696,0.02871,0.029740000000000003,0.029140000000000003,0.029089999999999998,0.029689999999999998,0.02944,0.031139999999999998,0.030289999999999997,0.02667
Freizeit und Kultur,9,0.10317,0.0962,0.09398,0.09287000000000001,0.09017000000000001,0.09242,0.09016,0.10607,0.10615000000000001,0.10356,0.09861,0.09563,0.09763,0.10201,0.09751,0.09044,0.09205999999999999,0.08808999999999999,0.08797,0.08373,0.0748,0.06775,0.0816
Erziehung und Unterricht,10,0.00488,0.00575,0.00504,0.0055000000000000005,0.008029999999999999,0.0066300000000000005,0.00561,0.0067399999999999995,0.006840000000000001,0.006689999999999999,0.00672,0.00676,0.007209999999999999,0.00863,0.00623,0.00764,0.00844,0.00888,0.01065,0.00997,0.00559,0.00949,0.008369999999999999
Restaurants und Hotels,11,0.09534000000000001,0.09391999999999999,0.0944,0.08924,0.08852,0.09009,0.08884,0.08142,0.08332,0.08426,0.08703,0.08843,0.08516,0.08544,0.09379,0.0906,0.09182,0.09374,0.09428,0.09464,0.06859,0.058230000000000004,0.09272
Sonstige Waren und Dienstleistungen,12,0.04926,0.05014000000000001,0.04797,0.048170000000000004,0.0455,0.04716,0.04681,0.04603000000000001,0.052090000000000004,0.052219999999999996,0.052629999999999996,0.05457,0.05593,0.05547,0.054000000000000006,0.055069999999999994,0.054880000000000005,0.05409,0.055170000000000004,0.06116,0.057089999999999995,0.05883,0.057960000000000005
